Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Graft-versus-host disease_Homo sapiens_hsa05332	19/41	0.000000000455498532062649143949219690728443844796036188427024171687662601470947265625	0.0000001184296183362887821830856417693045301575693883933126926422119140625	0.0000000139824761470301365326387123461972239457651312477537430822849273681640625	0.000001211814599409278594345398642750932793887841398827731609344482421875	-1.8820404367101549	40.48199084508707	CD86;HLA-DRB4;PRF1;GZMB;KIR3DL2;KIR2DL1;KIR2DL2;KIR2DL3;HLA-DMA;HLA-DMB;CD28;HLA-DPB1;HLA-DRA;KLRD1;KLRC1;HLA-DRB3;HLA-DQA1;HLA-DQB1;HLA-DPA1
Antigen processing and presentation_Homo sapiens_hsa04612	26/77	0.0000000014277593910455685071299398035036230802941048523280187509953975677490234375	0.00000018560872083592389310559267988354203993139890371821820735931396484375	0.00000000693513458847227494891564568619581054864653424374409951269626617431640625	0.000001211814599409278594345398642750932793887841398827731609344482421875	-1.7608143902230056	35.86278750192022	KIR2DL1;KIR2DL2;KIR2DL3;HLA-DMA;HLA-DMB;KLRC1;HLA-DQA1;HLA-DPA1;CD74;HLA-DRB4;KIR2DS1;KLRC2;KLRC3;KIR2DS4;KIR2DS5;KIR3DL2;KIR3DL3;CD4;CD8B;CD8A;RFXAP;HLA-DPB1;HLA-DRA;KLRD1;HLA-DRB3;HLA-DQB1
T cell receptor signaling pathway_Homo sapiens_hsa04660	30/104	0.000000005673907448969084303493486142778989833601599457324482500553131103515625	0.0000004917386455773205999314327298288507250845214002765715122222900390625	0.0000000101173495028302442309419374917058009888393144137808121740818023681640625	0.000001211814599409278594345398642750932793887841398827731609344482421875	-1.825682010459054	34.6649323541947	ITK;CBLB;CD3G;PIK3R1;CD3E;RASGRP1;CD3D;MALT1;PPP3R1;PPP3CC;AKT3;CTLA4;FYN;PLCG1;ICOS;NFATC3;NFATC2;ZAP70;CD4;DLG1;CD40LG;CD8B;CD8A;LCK;CD28;PRKCQ;CD247;MAP3K14;CARD11;LAT
Ribosome_Homo sapiens_hsa03010	31/137	0.000001301389350818677096460382856812909579957704409025609493255615234375	0.0000845903078032140165638808060322162418742664158344268798828125	0.000000617890173626035356041290812212363192656994215212762355804443359375	0.0000401628612856922949663103505901773360164952464401721954345703125	-1.6734171822858337	22.67828040308192	RPL30;RPL32;RPL31;RPL34;RPL11;RPL10A;RPL9;MRPL20;RPS17;RPS16;RPS15A;RPS19;RPS18;RPL14;RPS3;RPL38;RPL15;RPS27A;RPL39;RPS5;RPS6;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL24;RPL27;RPL26;UBA52;RPS23
Intestinal immune network for IgA production_Homo sapiens_hsa04672	16/48	0.00000249311070479851508660562066366228606284494162537157535552978515625	0.00010585434850557038331808623610186259611509740352630615234375	0.000006534252035332427423490637974357042594419908709824085235595703125	0.000283150921531071853888550382549738060333766043186187744140625	-1.6979720971023837	21.907200930553053	CD86;HLA-DRB4;ITGA4;HLA-DMA;CD40LG;HLA-DMB;CD28;HLA-DPB1;HLA-DRA;HLA-DRB3;ICOS;MAP3K14;CCL28;HLA-DQA1;HLA-DQB1;HLA-DPA1
Natural killer cell mediated cytotoxicity_Homo sapiens_hsa04650	30/135	0.00000284992476745766436824094762492176613477568025700747966766357421875	0.00010585434850557038331808623610186259611509740352630615234375	0.00000130054937359903984302298037001310859750446979887783527374267578125	0.00006762856742715007691939266276648368148016743361949920654296875	-1.6944912011058155	21.63563298941964	PRF1;PIK3R1;KIR2DL1;KIR2DL2;ITGAL;KIR2DL3;PPP3R1;PPP3CC;FYN;KLRC1;PLCG1;KIR2DS1;KLRC2;KLRC3;SH2D1A;KIR2DS4;SH2D1B;KIR2DS5;TNFRSF10B;NFATC2;GZMB;KIR3DL2;NCR1;ZAP70;LCK;KLRD1;CD48;CD247;CD244;LAT
Allograft rejection_Homo sapiens_hsa05330	14/38	0.0000027264662873019658288656179301323589925232226960361003875732421875	0.00010585434850557038331808623610186259611509740352630615234375	0.000009799724918979367795849981515043936042275163345038890838623046875	0.000318491059866829440659630190424422835349105298519134521484375	-1.5820176157607686	20.269607326606277	CD86;HLA-DRB4;PRF1;GZMB;HLA-DMA;CD40LG;HLA-DMB;CD28;HLA-DPB1;HLA-DRA;HLA-DRB3;HLA-DQA1;HLA-DQB1;HLA-DPA1
Inflammatory bowel disease (IBD)_Homo sapiens_hsa05321	18/65	0.000011626888711224403418105499685708537072059698402881622314453125	0.0003358878961020383209674922131426910709706135094165802001953125	0.000014998520142834656165777180991671713172763702459633350372314453125	0.000433290581904112264387263220299928434542380273342132568359375	-1.6639118055957474	18.90568232785047	SMAD2;HLA-DRB4;RORA;GATA3;HLA-DMA;MAF;HLA-DMB;IL23A;TBX21;IL21R;STAT4;HLA-DPB1;HLA-DRA;HLA-DRB3;HLA-DQA1;HLA-DQB1;IL12RB2;HLA-DPA1
Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514	29/142	0.0000231781407747250821718178193098225392532185651361942291259765625	0.000602631660142852122914736145986580595490522682666778564453125	0.00000823473452718485022746620904943171126433298923075199127197265625	0.000305861568152580149369812456683348500519059598445892333984375	-1.5091357086003916	16.105950428557712	CD86;SDC2;ITGAL;GLG1;SPN;HLA-DMA;HLA-DMB;CTLA4;ITGB8;NCAM1;ICOS;TIGIT;NEO1;HLA-DQA1;HLA-DPA1;HLA-DRB4;ITGA4;CD2;CD4;CD40LG;CD6;CD8B;CD8A;CD28;HLA-DPB1;HLA-DRA;ITGA6;HLA-DRB3;HLA-DQB1
Viral myocarditis_Homo sapiens_hsa05416	16/59	0.000046648950035554380736356472336723300031735561788082122802734375	0.001010727250770344920471899285985273309051990509033203125	0.00005505985597967843017154498941323481631116010248661041259765625	0.00130141477770149009869637968250799531233496963977813720703125	-1.4784589317100598	14.74446414601797	CD86;HLA-DRB4;PRF1;ITGAL;HLA-DMA;CASP8;CD40LG;HLA-DMB;CD28;HLA-DPB1;HLA-DRA;FYN;HLA-DRB3;HLA-DQA1;HLA-DQB1;HLA-DPA1
Autoimmune thyroid disease_Homo sapiens_hsa05320	15/53	0.000046473130446668224624584553339445847086608409881591796875	0.001010727250770344920471899285985273309051990509033203125	0.0000623234522993233535335944051070100613287650048732757568359375	0.00135034146648533941691139315111058749607764184474945068359375	-1.4604106726785786	14.569986060205286	CD86;HLA-DRB4;PRF1;GZMB;HLA-DMA;CD40LG;HLA-DMB;CD28;HLA-DPB1;HLA-DRA;CTLA4;HLA-DRB3;HLA-DQA1;HLA-DQB1;HLA-DPA1
Asthma_Homo sapiens_hsa05310	12/31	0.000007776710077207742917199291554641860102492501027882099151611328125	0.000252743077509251664290734762374768251902423799037933349609375	0.0000286235201578321241133208430174050818095565773546695709228515625	0.000744211524103635213393814762383726701955311000347137451171875	-1.2021152770991934	14.142137531786146	HLA-DMA;HLA-DRB4;CD40LG;HLA-DMB;HLA-DPB1;HLA-DRA;FCER1A;HLA-DRB3;MS4A2;HLA-DQA1;HLA-DQB1;HLA-DPA1
Type I diabetes mellitus_Homo sapiens_hsa04940	13/43	0.000069572118399462506651599602580660075545893050730228424072265625	0.00139144236798925007882188342733797981054522097110748291015625	0.000109993512294918158894198312314216536833555437624454498291015625	0.0021998702458983633405142921191099958377890288829803466796875	-1.258130826680223	12.044270932088525	CD86;HLA-DRB4;PRF1;GZMB;HLA-DMA;HLA-DMB;CD28;HLA-DPB1;HLA-DRA;HLA-DRB3;HLA-DQA1;HLA-DQB1;HLA-DPA1
Hematopoietic cell lineage_Homo sapiens_hsa04640	19/88	0.000268552404359191122795724737670752801932394504547119140625	0.0046549083422259794617925621196263819001615047454833984375	0.0001599832040046998411601808509630018306779675185680389404296875	0.0029711166458015682463600359852762267109937965869903564453125	-1.3776170182733098	11.327407011556925	CSF1R;HLA-DRB4;ITGA4;FLT3LG;CD3G;CD1E;CD3E;CD1C;CD3D;CD2;CD4;CD8B;CD5;CD8A;CD7;HLA-DRA;ITGA6;HLA-DRB3;IL7R
Circadian rhythm_Homo sapiens_hsa04710	10/30	0.000194196686965838051334987124363351540523581206798553466796875	0.0036065099007941349602834879561896741506643593311309814453125	0.0003587861880064320270304623061718984899925999343395233154296875	0.00621896059211148911904931679828223423101007938385009765625	-0.9499101632205815	8.118539306524486	PER3;BHLHE40;CRY2;CRY1;PRKAG2;FBXL3;RORA;NR1D1;BTRC;CLOCK
Primary immunodeficiency_Homo sapiens_hsa05340	11/37	0.0002941464304768097557003792008600839835708029568195343017578125	0.004779879495248158353948308985081894206814467906951904296875	0.0004162955753667102877339789568367223182576708495616912841796875	0.006764803099709042026599359331839877995662391185760498046875	-0.9246741308152062	7.518925604493961	ZAP70;CD4;CD40LG;CD8B;LCK;CD8A;RFXAP;IL7R;CD3E;ICOS;CD3D
HTLV-I infection_Homo sapiens_hsa05166	35/258	0.00981647583013416612229828928093411377631127834320068359375	0.1343307218860464724574654837851994670927524566650390625	0.0014986598558328055076638296583269038819707930088043212890625	0.0229206801480311417318347366745001636445522308349609375	-1.4933597377195678	6.904837111820195	CD3G;PIK3R1;CD3E;ITGAL;CD3D;ETS1;ELK4;PPP3R1;HLA-DMA;MAPK8;PPP3CC;HLA-DMB;AKT3;PRKACB;MYBL1;HLA-DQA1;HLA-DPA1;JAK1;SMAD2;SMAD4;HLA-DRB4;NFATC3;NFATC2;TGFBR2;DLG1;ADCY9;MRAS;LCK;IL2RB;HLA-DPB1;HLA-DRA;HLA-DRB3;MAP3K14;HLA-DQB1;ATR
Rheumatoid arthritis_Homo sapiens_hsa05323	16/90	0.006352076441676862521290569674192738602869212627410888671875	0.09714940440211672356696226415806449949741363525390625	0.00306500635442024695065388328885092050768435001373291015625	0.04427231400829245711037174260127358138561248779296875	-1.316561745090315	6.660451006963709	CD86;ATP6V1G1;HLA-DRB4;ITGAL;HLA-DMA;HLA-DMB;IL23A;CCL5;CD28;HLA-DPB1;HLA-DRA;CTLA4;HLA-DRB3;HLA-DQA1;HLA-DQB1;HLA-DPA1
